order_id,district,food_category,weather,peak_time,distance_km,order_amount,num_items,rider_exp_months,app_version,delivery_time
ORD00001,제주시내,중식,맑음,N,2.9,45200,6,5.0,v3.2.1,27
ORD00002,애월읍,치킨,맑음,Y,3.7,62900,5,14.0,v3.2.1,35
ORD00003,구좌읍,중식,흐림,N,7.2,19100,2,19.0,v3.2.1,26
ORD00004,제주시내,한식,맑음,Y,1.6,23000,3,55.0,v3.2.1,21
ORD00005,애월읍,치킨,비,N,4.7,41400,4,23.0,v3.2.1,41
ORD00006,구좌읍,카페디저트,비,N,4.7,10200,2,10.0,v3.2.1,32
ORD00007,제주시내,한식,흐림,Y,3.3,19600,3,8.0,v3.2.1,32
ORD00008,구좌읍,치킨,맑음,N,3.6,61800,5,2.0,v3.2.1,28
ORD00009,애월읍,분식,비,N,2.0,27400,7,15.0,v3.2.1,22
ORD00010,한림읍,분식,흐림,Y,0.8,12200,2,21.0,v3.2.1,17
ORD00011,제주시내,한식,맑음,Y,3.6,33100,6,7.0,v3.2.1,28
ORD00012,애월읍,카페디저트,흐림,Y,2.5,13300,3,35.0,v3.2.1,12
ORD00013,제주시내,카페디저트,흐림,N,3.2,20600,5,1.0,v3.2.1,21
ORD00014,구좌읍,치킨,맑음,N,3.3,77600,8,1.0,v3.2.1,37
ORD00015,제주시내,치킨,맑음,N,1.3,40000,4,16.0,v3.2.1,20
ORD00016,애월읍,한식,비,Y,2.2,32000,5,,v3.2.1,34
ORD00017,조천읍,한식,비,N,2.6,38700,7,41.0,v3.2.1,24
ORD00018,제주시내,분식,비,N,1.8,10400,2,3.0,v3.2.1,17
ORD00019,조천읍,카페디저트,맑음,Y,2.5,8600,2,5.0,v3.2.1,28
ORD00020,구좌읍,분식,흐림,N,6.3,16900,3,62.0,v3.2.1,23
ORD00021,제주시내,한식,맑음,Y,3.4,18800,3,12.0,v3.2.1,25
ORD00022,제주시내,한식,맑음,Y,4.9,23400,3,3.0,v3.2.1,30
ORD00023,제주시내,분식,흐림,Y,2.1,14600,3,15.0,v3.2.1,14
ORD00024,조천읍,한식,맑음,N,1.4,25600,3,2.0,v3.2.1,16
ORD00025,제주시내,중식,비,Y,2.5,16400,2,14.0,v3.2.1,30
ORD00026,구좌읍,분식,맑음,N,6.6,15600,3,5.0,v3.2.1,25
ORD00027,제주시내,중식,맑음,Y,1.7,29200,4,21.0,v3.2.1,23
ORD00028,제주시내,치킨,맑음,N,2.2,34300,3,7.0,v3.2.1,19
ORD00029,애월읍,한식,맑음,Y,5.2,18900,2,3.0,v3.2.1,34
ORD00030,조천읍,중식,비,Y,4.0,35100,5,13.0,v3.2.1,45
ORD00031,구좌읍,치킨,맑음,N,3.2,67000,6,34.0,v3.2.1,29
ORD00032,조천읍,한식,비,Y,4.1,20800,3,7.0,v3.2.1,41
ORD00033,애월읍,카페디저트,맑음,N,4.1,11700,3,2.0,v3.2.1,21
ORD00034,애월읍,치킨,맑음,Y,6.9,21000,1,13.0,v3.2.1,33
ORD00035,제주시내,중식,흐림,N,3.8,20300,2,,v3.2.1,27
ORD00036,애월읍,중식,비,N,1.4,27500,3,22.0,v3.2.1,22
ORD00037,조천읍,중식,비,Y,1.9,27600,3,9.0,v3.2.1,36
ORD00038,애월읍,중식,맑음,N,4.7,33900,5,9.0,v3.2.1,37
ORD00039,제주시내,분식,맑음,N,6.3,17800,5,,v3.2.1,35
ORD00040,애월읍,카페디저트,맑음,Y,4.0,7300,1,10.0,v3.2.1,19
ORD00041,구좌읍,한식,맑음,N,4.2,24000,3,28.0,v3.2.1,16
